Napló azon.	Időpont	Óra	Mérés	Szakasz	Mérés sorozat megnevezése	Szonda	Páratartalom [%]	Hőmérséklet [°C]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
106185	2018.09.24. 12:55:02	12	6	6/26	Diab.virg/5	V344	61	16,65	1518	1406	1699	1431	1400	1220	999	883	1699	1518	1431	1406	1400	1220	999	883	10556	3,1	0
106184	2018.09.24. 12:51:58	12	6	6/26	Diab.virg/5	V344	62	16,65	1581	1472	1782	1572	1558	1351	1084	927	1782	1581	1572	1558	1472	1351	1084	927	11327	4120	0
105550	2018.09.22. 01:35:24	1	4	4/32	Diab.virg/3	V330	49	11,47	3	434	839	532	10	10	8	5	839	532	434	10	10	8	5	3	1841	379,7	0
105549	2018.09.21. 19:15:42	19	4	4/32	Diab.virg/3	V330	47	20,57	2	2	1	1	0	763	2342	180	2342	763	180	2	2	1	1	0	3291	113,1	1
105548	2018.09.21. 17:22:36	17	4	4/31	Diab.virg/3	V330	47	28,36	0	100	1473	3241	847	21	14	10	3241	1473	847	100	21	14	10	0	5706	683,6	0
105376	2018.09.21. 16:11:57	16	6	6/25	Diab.virg/5	V344	63	29,11	0	2869	1123	0	1	4	4	2	2869	1123	4	4	2	1	0	0	4003	1364,5	1
105370	2018.09.21. 15:17:54	15	5	5/26	Diab.virg/4	V310	58	34,38	1159	1650	2092	2199	1959	1929	2074	1630	2199	2092	2074	1959	1929	1650	1630	1159	14692	20,5	0
105369	2018.09.21. 14:57:25	14	5	5/26	Diab.virg/4	V310	58	34,47	706	982	1198	1196	1020	996	1050	801	1198	1196	1050	1020	996	982	801	706	7949	2438,7	0
105546	2018.09.21. 05:58:59	5	4	4/31	Diab.virg/3	V330	51	11,04	134	2243	1394	4	3	5	3	2	2243	1394	134	5	4	3	3	2	3788	265,3	0
105227	2018.09.21. 01:33:42	1	4	4/31	Diab.virg/3	V330	50	11,85	2	5	4	4	3	1279	1517	1	1517	1279	5	4	4	3	2	1	2815	799,5	0
105072	2018.09.20. 17:27:27	17	6	6/25	Diab.virg/5	V344	64	27,41	2	2437	621	0	0	0	0	1	2437	621	2	1	0	0	0	0	3061	77	1
105071	2018.09.20. 16:10:27	16	6	6/25	Diab.virg/5	V344	64	29,03	0	0	1936	1955	1	3	2	2	1955	1936	3	2	2	1	0	0	3899	13,8	1
105070	2018.09.20. 15:56:38	15	6	6/25	Diab.virg/5	V344	64	29,28	5	297	1827	1501	0	0	0	0	1827	1501	297	5	0	0	0	0	3630	145,6	1
105061	2018.09.20. 13:31:02	13	6	6/25	Diab.virg/5	V344	61	33,78	0	0	1789	2831	0	17	13	13	2831	1789	17	13	13	0	0	0	4663	34,7	1
105060	2018.09.20. 12:56:17	12	6	6/25	Diab.virg/5	V344	61	32,56	0	0	0	0	0	997	1602	0	1602	997	0	0	0	0	0	0	2599	8	1
105059	2018.09.20. 12:48:17	12	6	6/25	Diab.virg/5	V344	61	31,94	0	0	0	0	0	2470	0	0	2470	0	0	0	0	0	0	0	2470	3,6	1
105058	2018.09.20. 12:44:40	12	6	6/25	Diab.virg/5	V344	61	31,73	0	0	75	4964	0	0	1	4	4964	75	4	1	0	0	0	0	5044	1,4	1
105057	2018.09.20. 12:43:15	12	6	6/25	Diab.virg/5	V344	61	31,73	0	0	2424	2484	7	1	3	4	2484	2424	7	4	3	1	0	0	4923	44,2	1
105225	2018.09.20. 12:14:15	12	4	4/31	Diab.virg/3	V330	48	40,98	4	0	0	2817	0	0	3	3	2817	4	3	3	0	0	0	0	2827	976,4	0
105056	2018.09.20. 11:59:02	11	6	6/25	Diab.virg/5	V344	62	30,7	0	0	0	21	2929	608	0	0	2929	608	21	0	0	0	0	0	3558	91	1
105055	2018.09.20. 10:28:01	10	6	6/25	Diab.virg/5	V344	64	26	2	0	0	0	0	3679	0	0	3679	2	0	0	0	0	0	0	3681	1,8	1
105054	2018.09.20. 10:26:15	10	6	6/25	Diab.virg/5	V344	64	25,8	0	142	3179	1392	0	0	0	0	3179	1392	142	0	0	0	0	0	4713	1176,6	1
104703	2018.09.19. 22:18:40	22	5	5/26	Diab.virg/4	V310	59	14,43	0	20	2055	0	4	4	4	2	2055	20	4	4	4	2	0	0	2089	632,4	0
104880	2018.09.19. 19:57:53	19	4	4/31	Diab.virg/3	V330	50	15,58	0	0	4	2	3	1	1562	0	1562	4	3	2	1	0	0	0	1572	487,3	0
104697	2018.09.19. 14:49:40	14	6	6/25	Diab.virg/5	V344	63	29,18	1	0	1	1369	0	0	2	1	1369	2	1	1	1	0	0	0	1374	89,1	1
104696	2018.09.19. 13:20:33	13	6	6/25	Diab.virg/5	V344	60	32,46	0	0	675	2970	89	10	16	38	2970	675	89	38	16	10	0	0	3798	17	0
104695	2018.09.19. 13:03:31	13	6	6/25	Diab.virg/5	V344	61	31,94	0	0	694	2951	18	0	0	0	2951	694	18	0	0	0	0	0	3663	18,7	1
104686	2018.09.19. 12:44:47	12	6	6/25	Diab.virg/5	V344	62	30,63	0	0	0	943	2740	1274	51	0	2740	1274	943	51	0	0	0	0	5008	7,8	0
104685	2018.09.19. 12:36:58	12	6	6/25	Diab.virg/5	V344	62	30,42	0	0	0	642	4535	213	0	0	4535	642	213	0	0	0	0	0	5390	1,8	1
104684	2018.09.19. 12:35:08	12	6	6/25	Diab.virg/5	V344	62	30,42	0	0	4337	0	0	0	0	1	4337	1	0	0	0	0	0	0	4338	5,1	1
104683	2018.09.19. 12:30:02	12	6	6/25	Diab.virg/5	V344	62	30,31	0	0	0	2	2922	1352	0	0	2922	1352	2	0	0	0	0	0	4276	3,8	1
104682	2018.09.19. 12:26:14	12	6	6/25	Diab.virg/5	V344	62	30,25	0	0	0	0	3131	551	0	0	3131	551	0	0	0	0	0	0	3682	9,7	1
104681	2018.09.19. 12:16:30	12	6	6/25	Diab.virg/5	V344	61	30,1	0	0	0	2651	17	0	0	0	2651	17	0	0	0	0	0	0	2668	18,2	1
104680	2018.09.19. 11:58:15	11	6	6/25	Diab.virg/5	V344	62	28,65	0	0	2173	3193	734	0	13	14	3193	2173	734	14	13	0	0	0	6127	22,4	1
104879	2018.09.19. 11:50:34	11	4	4/31	Diab.virg/3	V330	49	34,59	10	34	184	328	590	848	971	747	971	848	747	590	328	184	34	10	3712	104,3	0
104702	2018.09.19. 11:46:15	11	5	5/26	Diab.virg/4	V310	59	28,25	0	0	0	0	2133	918	0	0	2133	918	0	0	0	0	0	0	3051	1288	1
104679	2018.09.19. 11:35:49	11	6	6/25	Diab.virg/5	V344	63	26,79	1550	1086	49	0	0	0	0	0	1550	1086	49	0	0	0	0	0	2685	8,3	1
104663	2018.09.19. 11:27:30	11	6	6/25	Diab.virg/5	V344	64	26,29	0	0	0	0	0	1407	0	0	1407	0	0	0	0	0	0	0	1407	17,6	1
104662	2018.09.19. 11:09:57	11	6	6/25	Diab.virg/5	V344	63	26,16	4367	4087	0	0	0	0	0	0	4367	4087	0	0	0	0	0	0	8454	26,2	1
104661	2018.09.19. 10:43:44	10	6	6/25	Diab.virg/5	V344	63	25,56	0	0	0	0	3859	2648	0	9	3859	2648	9	0	0	0	0	0	6516	7,1	1
104660	2018.09.19. 10:36:37	10	6	6/25	Diab.virg/5	V344	63	25,21	0	1462	2490	0	0	0	0	0	2490	1462	0	0	0	0	0	0	3952	8,3	1
104659	2018.09.19. 10:28:17	10	6	6/25	Diab.virg/5	V344	63	24,83	4	0	0	77	4622	0	0	2	4622	77	4	2	0	0	0	0	4705	10,9	1
104658	2018.09.19. 10:17:24	10	6	6/25	Diab.virg/5	V344	63	24,24	2	0	0	0	22	2284	0	0	2284	22	2	0	0	0	0	0	2308	4,5	1
104657	2018.09.19. 10:12:53	10	6	6/25	Diab.virg/5	V344	63	24,18	2	1	0	0	215	2554	0	0	2554	215	2	1	0	0	0	0	2772	940,7	1
104878	2018.09.19. 10:06:16	10	4	4/31	Diab.virg/3	V330	51	27,92	4	5	2	2	5	444	2205	0	2205	444	5	5	4	2	2	0	2667	1403,8	1
104378	2018.09.18. 18:32:12	18	6	6/25	Diab.virg/5	V344	63	23,24	3	2	3	1	308	2695	143	0	2695	308	143	3	3	2	1	0	3155	70,3	1
104377	2018.09.18. 17:21:52	17	6	6/25	Diab.virg/5	V344	63	26,55	0	0	46	2621	168	0	0	0	2621	168	46	0	0	0	0	0	2835	239	1
104326	2018.09.18. 14:18:14	14	5	5/26	Diab.virg/4	V310	62	31,23	1095	1534	1863	1954	1763	1768	1959	1491	1959	1954	1863	1768	1763	1534	1491	1095	13427	4,7	0
104325	2018.09.18. 14:13:32	14	5	5/26	Diab.virg/4	V310	62	31,12	913	1290	1605	1720	1583	1567	1618	1204	1720	1618	1605	1583	1567	1290	1204	913	11500	71,8	0
104376	2018.09.18. 13:22:52	13	6	6/25	Diab.virg/5	V344	61	31,33	1441	1440	1786	1561	1454	1303	1043	893	1786	1561	1454	1441	1440	1303	1043	893	10921	41	0
104324	2018.09.18. 13:01:46	13	5	5/26	Diab.virg/4	V310	61	30,26	1094	1519	1762	1818	1686	1623	1532	1179	1818	1762	1686	1623	1532	1519	1179	1094	12213	21,4	0
104375	2018.09.18. 12:41:55	12	6	6/25	Diab.virg/5	V344	63	29,8	0	0	0	0	396	2782	0	0	2782	396	0	0	0	0	0	0	3178	70,7	1
104323	2018.09.18. 12:40:24	12	5	5/26	Diab.virg/4	V310	61	29,88	735	1050	1303	1371	1199	1137	1089	851	1371	1303	1199	1137	1089	1050	851	735	8735	39,5	0
104322	2018.09.18. 12:00:52	12	5	5/26	Diab.virg/4	V310	60	29,52	989	1387	1595	1547	1351	1266	1152	889	1595	1547	1387	1351	1266	1152	989	889	10176	2571,1	0
104374	2018.09.18. 11:31:16	11	6	6/25	Diab.virg/5	V344	65	27,96	0	0	1346	2638	250	0	0	0	2638	1346	250	0	0	0	0	0	4234	18	1
104373	2018.09.18. 11:13:18	11	6	6/25	Diab.virg/5	V344	65	27,63	0	0	0	0	1145	2472	145	0	2472	1145	145	0	0	0	0	0	3762	1076,1	1
104481	2018.09.18. 10:42:30	10	4	4/31	Diab.virg/3	V330	50	32,4	158	732	1484	479	285	87	8	6	1484	732	479	285	158	87	8	6	3239	187,8	0
104480	2018.09.18. 07:34:41	7	4	4/30	Diab.virg/3	V330	52	12,43	3	0	294	2021	686	34	3	3	2021	686	294	34	3	3	3	0	3044	280,3	1
104183	2018.09.18. 02:54:22	2	4	4/30	Diab.virg/3	V330	51	10,66	4	5	1	1	962	2102	26	1	2102	962	26	5	4	1	1	1	3102	375,7	0
104182	2018.09.17. 20:38:43	20	4	4/30	Diab.virg/3	V330	50	15,61	6	0	0	0	2	2	784	1902	1902	784	6	2	2	0	0	0	2696	221	0
103558	2018.09.17. 17:17:10	17	6	6/24	Diab.virg/5	V344	65	25,75	0	0	2400	2107	7	0	0	0	2400	2107	7	0	0	0	0	0	4514	234,4	1
104181	2018.09.17. 16:57:44	16	4	4/30	Diab.virg/3	V330	49	26,14	1	1746	1520	127	37	18	6	2	1746	1520	127	37	18	6	2	1	3457	749,9	0
103557	2018.09.17. 13:22:47	13	6	6/24	Diab.virg/5	V344	64	29,83	2054	1853	2130	1813	1810	1568	1242	1079	2130	2054	1853	1813	1810	1568	1242	1079	13549	1055,9	0
104179	2018.09.17. 04:27:48	4	4	4/30	Diab.virg/3	V330	52	10,87	2	3	1	2	0	90	1745	522	1745	522	90	3	2	2	1	0	2365	288,1	0
103341	2018.09.16. 23:39:40	23	4	4/30	Diab.virg/3	V330	51	12,5	1	3	0	0	1318	2	4	2	1318	4	3	2	2	1	0	0	1330	326,6	0
103184	2018.09.16. 19:46:53	19	6	6/24	Diab.virg/5	V344	65	17,56	4	5	4	6	6	0	92	1671	1671	92	6	6	5	4	4	0	1788	75,8	1
103183	2018.09.16. 18:31:03	18	6	6/24	Diab.virg/5	V344	65	22,29	0	917	2897	6	1	2	0	1	2897	917	6	2	1	1	0	0	3824	79,1	1
103340	2018.09.16. 18:13:02	18	4	4/30	Diab.virg/3	V330	49	22,63	3	4	3	1	28	2027	2580	351	2580	2027	351	28	4	3	3	1	4997	396,5	1
103164	2018.09.16. 17:12:00	17	6	6/24	Diab.virg/5	V344	65	25,3	2	0	0	0	2271	786	2	3	2271	786	3	2	2	0	0	0	3064	51,4	1
103078	2018.09.16. 17:09:48	17	5	5/25	Diab.virg/4	V310	66	31,51	0	0	0	1309	71	0	0	0	1309	71	0	0	0	0	0	0	1380	13,3	1
103077	2018.09.16. 16:56:31	16	5	5/25	Diab.virg/4	V310	65	30,51	3	0	0	0	0	2400	0	0	2400	3	0	0	0	0	0	0	2403	39,9	1
103163	2018.09.16. 16:20:38	16	6	6/24	Diab.virg/5	V344	65	24,72	0	0	2	0	0	3062	1342	0	3062	1342	2	0	0	0	0	0	4406	10,9	1
103076	2018.09.16. 16:16:35	16	5	5/25	Diab.virg/4	V310	64	27,78	0	0	302	1314	0	0	0	0	1314	302	0	0	0	0	0	0	1616	118	1
103162	2018.09.16. 16:09:43	16	6	6/24	Diab.virg/5	V344	65	25,17	4	6	11	437	1705	1016	76	47	1705	1016	437	76	47	11	6	4	3302	1,3	0
103161	2018.09.16. 16:08:25	16	6	6/24	Diab.virg/5	V344	65	25,17	0	0	0	887	2656	71	1	0	2656	887	71	1	0	0	0	0	3615	7	1
103160	2018.09.16. 16:01:24	16	6	6/24	Diab.virg/5	V344	65	25,48	0	0	437	1482	597	1212	3	1	1482	1212	597	437	3	1	0	0	3732	8,8	0
103159	2018.09.16. 15:52:36	15	6	6/24	Diab.virg/5	V344	65	25,76	0	0	0	0	171	1997	17	0	1997	171	17	0	0	0	0	0	2185	2,1	1
103158	2018.09.16. 15:50:32	15	6	6/24	Diab.virg/5	V344	65	25,86	0	0	0	1775	3187	1847	11	0	3187	1847	1775	11	0	0	0	0	6820	3,6	1
103157	2018.09.16. 15:46:55	15	6	6/24	Diab.virg/5	V344	65	25,86	0	0	2302	3133	2	0	0	0	3133	2302	2	0	0	0	0	0	5437	23,1	1
103132	2018.09.16. 15:23:51	15	6	6/24	Diab.virg/5	V344	65	26,44	0	0	1876	2720	0	0	0	0	2720	1876	0	0	0	0	0	0	4596	78,5	1
103075	2018.09.16. 14:18:37	14	5	5/25	Diab.virg/4	V310	64	29,99	0	0	0	1016	3015	211	0	0	3015	1016	211	0	0	0	0	0	4242	168,2	1
103131	2018.09.16. 14:05:20	14	6	6/24	Diab.virg/5	V344	65	25,61	0	2431	66	24	16	7	6	5	2431	66	24	16	7	6	5	0	2555	3,2	1
103130	2018.09.16. 14:02:08	14	6	6/24	Diab.virg/5	V344	65	25,46	0	0	2602	2333	0	0	0	0	2602	2333	0	0	0	0	0	0	4935	13,8	1
103129	2018.09.16. 13:48:23	13	6	6/24	Diab.virg/5	V344	65	25,36	1	21	3048	3076	262	0	0	0	3076	3048	262	21	1	0	0	0	6408	61,5	1
103128	2018.09.16. 12:46:53	12	6	6/24	Diab.virg/5	V344	64	27,63	2792	1750	6	4	3	2	2	3	2792	1750	6	4	3	3	2	2	4562	21,6	1
103127	2018.09.16. 12:25:18	12	6	6/24	Diab.virg/5	V344	64	29,08	8	14	3252	1210	44	45	43	44	3252	1210	45	44	44	43	14	8	4660	13,8	1
103126	2018.09.16. 12:11:30	12	6	6/24	Diab.virg/5	V344	63	28,81	0	0	0	2970	0	0	0	1	2970	1	0	0	0	0	0	0	2971	26,5	1
103125	2018.09.16. 11:44:59	11	6	6/24	Diab.virg/5	V344	65	27,43	0	0	0	86	556	2750	76	0	2750	556	86	76	0	0	0	0	3468	18	1
103339	2018.09.16. 11:36:32	11	4	4/30	Diab.virg/3	V330	50	36,21	686	821	1149	519	328	235	101	45	1149	821	686	519	328	235	101	45	3884	989,4	0
103074	2018.09.16. 11:30:26	11	5	5/25	Diab.virg/4	V310	61	29,06	14	0	0	0	0	877	2179	0	2179	877	14	0	0	0	0	0	3070	2214,9	1
103107	2018.09.16. 11:26:58	11	6	6/24	Diab.virg/5	V344	65	26,56	1130	2351	1571	306	197	59	37	19	2351	1571	1130	306	197	59	37	19	5670	23	0
103106	2018.09.16. 11:03:55	11	6	6/24	Diab.virg/5	V344	66	25,11	0	0	0	145	2638	146	4	5	2638	146	145	5	4	0	0	0	2938	21,4	1
103105	2018.09.16. 10:42:32	10	6	6/24	Diab.virg/5	V344	65	24,23	0	184	2673	3147	0	0	0	0	3147	2673	184	0	0	0	0	0	6004	8,5	1
103104	2018.09.16. 10:34:00	10	6	6/24	Diab.virg/5	V344	65	23,79	0	473	2967	2480	85	2	1	1	2967	2480	473	85	2	1	1	0	6009	20,9	1
103103	2018.09.16. 10:13:03	10	6	6/24	Diab.virg/5	V344	65	22,41	3	2	0	0	36	3027	32	0	3027	36	32	3	2	0	0	0	3100	3,4	1
103102	2018.09.16. 10:09:37	10	6	6/24	Diab.virg/5	V344	66	21,98	2	0	949	1637	949	29	9	0	1637	949	949	29	9	2	0	0	3575	6,8	1
103101	2018.09.16. 10:02:51	10	6	6/24	Diab.virg/5	V344	66	21,65	0	0	164	4376	3039	7	0	0	4376	3039	164	7	0	0	0	0	7586	14,7	1
103100	2018.09.16. 09:48:08	9	6	6/24	Diab.virg/5	V344	66	21,08	0	0	2927	77	0	0	0	0	2927	77	0	0	0	0	0	0	3004	683,8	1
102785	2018.09.15. 22:24:23	22	6	6/24	Diab.virg/5	V344	65	16,05	1	0	2170	2175	2	3	2	3	2175	2170	3	3	2	2	1	0	4356	46,7	0
102784	2018.09.15. 21:37:39	21	6	6/24	Diab.virg/5	V344	64	16,64	2	4	4	206	1915	2273	2	1	2273	1915	206	4	4	2	2	1	4407	69	1
102775	2018.09.15. 20:28:39	20	6	6/24	Diab.virg/5	V344	64	18,7	3	4	1	1	2415	4024	2	2	4024	2415	4	3	2	2	1	1	6452	58,7	1
102774	2018.09.15. 19:29:58	19	6	6/24	Diab.virg/5	V344	64	20,64	2	4	12	724	1736	1523	339	1	1736	1523	724	339	12	4	2	1	4341	39,7	1
102953	2018.09.15. 19:07:07	19	4	4/30	Diab.virg/3	V330	51	21,14	1	1281	857	28	7	6	6	0	1281	857	28	7	6	6	1	0	2186	758,1	0
102773	2018.09.15. 18:50:16	18	6	6/24	Diab.virg/5	V344	64	22,34	3	1	0	2556	592	2	4	2	2556	592	4	3	2	2	1	0	3160	12,9	1
102772	2018.09.15. 18:37:20	18	6	6/24	Diab.virg/5	V344	64	22,93	9	11	333	3076	2560	1	2	4	3076	2560	333	11	9	4	2	1	5996	76,6	1
102771	2018.09.15. 17:20:46	17	6	6/24	Diab.virg/5	V344	64	25,07	3	0	0	4091	3119	0	0	1	4091	3119	3	1	0	0	0	0	7214	121,7	1
102770	2018.09.15. 15:19:03	15	6	6/24	Diab.virg/5	V344	65	25,45	1475	1531	2079	1950	2351	2469	2206	1939	2469	2351	2206	2079	1950	1939	1531	1475	16000	101,9	0
102769	2018.09.15. 13:37:10	13	6	6/24	Diab.virg/5	V344	63	27,42	1712	1737	2354	2057	2116	1921	1523	1273	2354	2116	2057	1921	1737	1712	1523	1273	14693	1,8	0
102768	2018.09.15. 13:35:25	13	6	6/24	Diab.virg/5	V344	63	27,42	1311	1265	1544	1316	1326	1212	1015	873	1544	1326	1316	1311	1265	1212	1015	873	9862	3,7	0
102759	2018.09.15. 13:31:41	13	6	6/24	Diab.virg/5	V344	63	27,47	1296	1205	1464	1214	1207	985	782	742	1464	1296	1214	1207	1205	985	782	742	8895	7,1	0
102757	2018.09.15. 13:24:33	13	6	6/24	Diab.virg/5	V344	62	27,67	1236	1217	1517	1377	1402	1236	982	833	1517	1402	1377	1236	1236	1217	982	833	9800	6,7	0
102754	2018.09.15. 13:17:50	13	6	6/24	Diab.virg/5	V344	62	27,96	994	985	1233	1106	1126	991	785	665	1233	1126	1106	994	991	985	785	665	7885	15	0
102752	2018.09.15. 13:02:51	13	6	6/24	Diab.virg/5	V344	62	27,75	1059	1010	1205	1068	1083	909	711	604	1205	1083	1068	1059	1010	909	711	604	7649	5	0
102751	2018.09.15. 12:57:52	12	6	6/24	Diab.virg/5	V344	62	27,32	1184	1069	1310	1136	1172	901	654	554	1310	1184	1172	1136	1069	901	654	554	7980	2,3	0
102749	2018.09.15. 12:55:33	12	6	6/24	Diab.virg/5	V344	63	27,32	925	1023	1518	1457	1717	1408	1041	749	1717	1518	1457	1408	1041	1023	925	749	9838	1,1	0
102747	2018.09.15. 12:54:30	12	6	6/24	Diab.virg/5	V344	63	26,98	1230	1180	1310	1269	1239	1100	906	787	1310	1269	1239	1230	1180	1100	906	787	9021	1,1	0
102735	2018.09.15. 12:53:24	12	6	6/24	Diab.virg/5	V344	63	26,98	1584	1500	1622	1578	1517	1263	935	744	1622	1584	1578	1517	1500	1263	935	744	10743	1,8	0
102734	2018.09.15. 12:51:36	12	6	6/24	Diab.virg/5	V344	63	26,98	1182	1128	1362	1193	1120	894	694	566	1362	1193	1182	1128	1120	894	694	566	8139	1,6	0
102733	2018.09.15. 12:49:59	12	6	6/24	Diab.virg/5	V344	63	26,62	989	979	1200	1070	930	761	539	428	1200	1070	989	979	930	761	539	428	6896	2,9	0
102731	2018.09.15. 12:47:05	12	6	6/24	Diab.virg/5	V344	63	26,62	1388	1262	1499	1321	1299	1081	853	685	1499	1388	1321	1299	1262	1081	853	685	9388	1,8	0
102730	2018.09.15. 12:45:20	12	6	6/24	Diab.virg/5	V344	63	26,31	1358	1399	1551	1535	1577	1498	1323	1043	1577	1551	1535	1498	1399	1358	1323	1043	11284	1	0
102729	2018.09.15. 12:44:21	12	6	6/24	Diab.virg/5	V344	64	26,31	1041	1086	1366	1207	1173	936	691	570	1366	1207	1173	1086	1041	936	691	570	8070	4,5	0
102728	2018.09.15. 12:39:54	12	6	6/24	Diab.virg/5	V344	64	26,11	1565	1478	1757	1654	1608	1319	987	794	1757	1654	1608	1565	1478	1319	987	794	11162	1,5	0
102727	2018.09.15. 12:38:23	12	6	6/24	Diab.virg/5	V344	64	25,86	1779	1739	2271	1993	1919	1568	1183	991	2271	1993	1919	1779	1739	1568	1183	991	13443	5,4	0
102726	2018.09.15. 12:33:01	12	6	6/24	Diab.virg/5	V344	64	25,61	1870	1825	2165	1862	1782	1454	1128	944	2165	1870	1862	1825	1782	1454	1128	944	13030	1,5	0
102725	2018.09.15. 12:31:31	12	6	6/24	Diab.virg/5	V344	64	25,61	1264	1273	1255	1257	1148	1092	788	647	1273	1264	1257	1255	1148	1092	788	647	8724	38,9	0
102724	2018.09.15. 11:52:35	11	6	6/24	Diab.virg/5	V344	64	24,74	962	951	1289	1157	1314	1066	922	849	1314	1289	1157	1066	962	951	922	849	8510	142,1	0
102723	2018.09.15. 09:30:31	9	6	6/24	Diab.virg/5	V344	67	20,42	0	0	2640	2835	65	0	0	0	2835	2640	65	0	0	0	0	0	5540	47,7	1
102722	2018.09.15. 08:42:52	8	6	6/24	Diab.virg/5	V344	67	19,27	0	0	0	3582	3993	0	0	0	3993	3582	0	0	0	0	0	0	7575	38,5	1
102721	2018.09.15. 08:04:21	8	6	6/24	Diab.virg/5	V344	67	18,58	0	0	0	208	2598	305	0	0	2598	305	208	0	0	0	0	0	3111	744,4	1
102951	2018.09.15. 06:29:02	6	4	4/30	Diab.virg/3	V330	53	17,24	4	3	4	1	0	48	2207	0	2207	48	4	4	3	1	0	0	2267	641,4	0
102304	2018.09.14. 22:35:29	22	5	5/25	Diab.virg/4	V310	65	19,78	1	2	1	70	2865	1417	0	3	2865	1417	70	3	2	1	1	0	4359	213,9	1
